name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jaipur,India",2017-07-04,95.3,79.2,87,105.2,79.2,94.3,73.4,65.1,0,0,0,,,,,16.1,275.1,999.3,47.7,2.4,231.9,19.9,8,,2017-07-04T05:37:33,2017-07-04T19:24:43,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-05,93.2,78.3,86.8,97.7,78.3,91.4,70.3,59.2,0,0,0,,,,,18.3,269.1,1000,48.4,2.5,318.1,27.6,10,,2017-07-05T05:37:57,2017-07-05T19:24:39,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-06,96.8,79.6,88.1,102,79.6,92.3,69.4,55.7,0,0,0,,,,,15,272.9,1001.2,42.2,2.6,315.3,27.3,10,,2017-07-06T05:38:21,2017-07-06T19:24:34,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-07,96.8,80.3,89.5,102.1,84,94,68.9,52.3,0.004,100,4.17,rain,,,,14.8,287.5,1002.7,39.1,2.7,326.1,28.2,10,,2017-07-07T05:38:46,2017-07-07T19:24:28,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-08,102.3,80.3,91.2,107.5,84.3,96.2,69,49.7,0,0,0,,,,,13.6,293.1,1002.4,42.1,2.8,327.4,28,10,,2017-07-08T05:39:12,2017-07-08T19:24:21,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-09,98.9,83.2,92.2,104.7,86.5,96.5,67.8,45.7,0,0,0,,,,28.9,13.6,290.2,1002,54.5,2.6,268.8,23.4,9,,2017-07-09T05:39:38,2017-07-09T19:24:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-10,98.6,83.4,91,102.8,88.1,94.7,67.3,46.7,0,0,0,,,,,15,278.4,1002.3,47.6,2.5,313.1,27.1,10,,2017-07-10T05:40:05,2017-07-10T19:24:02,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-11,95,82.4,89.7,98.5,86.2,93.2,67.3,48.7,0,0,0,,,,,16.1,271.3,1002.1,54.7,2.7,312.1,26.8,10,,2017-07-11T05:40:33,2017-07-11T19:23:50,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"Jaipur,India",2017-07-12,91.4,82.1,86.1,100.5,86.7,93.4,73.2,66.1,0.004,100,4.17,rain,,,,8.1,69.4,1002.6,66.3,2.3,267,23.1,9,,2017-07-12T05:41:00,2017-07-12T19:23:37,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-13,95,79.8,86.4,103.2,79.8,94.2,74.3,68.3,0.039,100,4.17,rain,,,,11.4,55,1001.1,63.4,2.4,282.6,24.5,9,,2017-07-13T05:41:28,2017-07-13T19:23:23,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-14,93.5,80.7,87,104.4,86.2,95.2,74.1,66.4,0.012,100,12.5,rain,,,,15,78.4,1000.3,57.7,2.5,311.6,26.9,10,,2017-07-14T05:41:57,2017-07-14T19:23:08,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-15,98.6,80.5,88.4,107.5,85.3,97.8,75.1,67.3,0.276,100,8.33,rain,,,,13.9,95.7,1000.4,53.5,2.3,294.3,25.5,9,,2017-07-15T05:42:26,2017-07-15T19:22:51,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-16,90.7,82,84.4,105.2,90.9,96,78.7,83.6,1.062,100,12.5,rain,,,,9.6,108.3,1000.6,63.9,1.9,230.6,19.9,8,,2017-07-16T05:42:55,2017-07-16T19:22:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-17,91.4,78.8,84.7,107.8,78.8,96.2,78.7,83.2,0.472,100,4.17,rain,,,20.8,9.2,116.3,1001,58.8,2.1,220.2,19.1,8,,2017-07-17T05:43:24,2017-07-17T19:22:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-18,93.2,81.7,85.8,109.6,89.5,97.9,78.2,79,0.031,100,4.17,rain,,,,9.2,101.4,1001.2,61.1,2.1,180.3,15.8,5,,2017-07-18T05:43:54,2017-07-18T19:21:53,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-19,96.9,81.8,87.7,110.4,89.4,99.6,77.1,72.2,0.016,100,4.17,rain,,,,9.2,115.3,1000.2,48.7,2.4,244.9,21.2,8,,2017-07-19T05:44:24,2017-07-19T19:21:31,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-20,93.3,82.4,87.2,107.6,91.3,98.7,77.1,72.9,0.031,100,4.17,rain,,,,11.4,81.3,998.5,53.8,2.3,219.6,19,8,,2017-07-20T05:44:54,2017-07-20T19:21:07,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-21,91.4,78.8,83.4,102.7,78.8,91.6,76.8,81.1,0.551,100,8.33,rain,,,,11.4,72,998.8,63.8,2.1,215.6,18.7,7,,2017-07-21T05:45:25,2017-07-21T19:20:42,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-22,86,78.8,81.2,98.6,78.8,88.3,78.1,90.4,0.748,100,12.5,rain,,,30,18.3,73.8,998.1,62.2,1.7,171.4,14.8,5,,2017-07-22T05:45:55,2017-07-22T19:20:16,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VIJP,42348099999"
"Jaipur,India",2017-07-23,84.2,77.3,79.5,98.7,77.3,82.4,78.6,97.1,1.85,100,12.5,rain,,,17.2,10.3,68.8,997.3,71.7,1.5,268.5,23.3,8,,2017-07-23T05:46:26,2017-07-23T19:19:49,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-24,84.2,76.3,79.7,92.5,76.3,83.1,77.5,93.3,0.787,100,12.5,rain,,,,9.3,119.8,997.2,73.5,1.5,167.1,14.5,6,,2017-07-24T05:46:57,2017-07-24T19:19:21,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VIJP,42348099999"
"Jaipur,India",2017-07-25,82.5,74.8,79.2,89.5,74.8,82.7,75.3,88.2,0,0,0,,,,20.8,11.4,110.4,997.9,72.8,2.3,300.8,26.1,9,,2017-07-25T05:47:28,2017-07-25T19:18:51,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"Jaipur,India",2017-07-26,89.6,78.8,83.8,102.6,78.8,90.9,76.7,80.3,0,0,0,,,,,12.8,85.1,1000,56.6,2.1,226.8,19.4,8,,2017-07-26T05:47:59,2017-07-26T19:18:20,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"Jaipur,India",2017-07-27,91.4,77.6,85.2,102.7,77.6,92.8,75.3,73.1,0,0,0,,,,,11.4,70.4,1001.6,51.3,2.4,279.3,24.2,8,,2017-07-27T05:48:30,2017-07-27T19:17:47,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-28,89.7,79.7,83.4,105.2,79.7,91.5,76.5,80.5,0.393,100,8.33,rain,,,,12.8,61.6,1001.7,62.2,1.8,230.5,20,8,,2017-07-28T05:49:01,2017-07-28T19:17:14,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-29,80.6,77,79,89.3,77,81.2,78.2,97.3,0.355,100,8.33,rain,,,,15.4,84,1001.9,73.4,1.5,247,21.3,8,,2017-07-29T05:49:32,2017-07-29T19:16:39,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-30,80.6,76.8,78.9,88.2,76.8,81.3,77.5,95.5,0.012,100,4.17,rain,,,,11.4,239,1003.9,72.3,1.8,218.4,18.8,6,,2017-07-30T05:50:03,2017-07-30T19:16:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VIJP,42348099999"
"Jaipur,India",2017-07-31,82.4,78.4,79.9,92.1,78.4,83.5,77.8,93.6,0.02,100,4.17,rain,,,,9.2,254.7,1004,60.2,1.9,193,16.8,7,,2017-07-31T05:50:34,2017-07-31T19:15:26,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,42348099999"
"Jaipur,India",2017-08-01,85.6,77.3,81.2,96.1,77.3,86.7,76.8,86.8,0.079,100,4.17,rain,,,,11.4,267.3,1004.1,72.1,1.8,221.9,19.1,7,,2017-08-01T05:51:05,2017-08-01T19:14:47,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-08-02,86,76.7,81.3,95.2,76.7,86.4,75.4,82.9,0.004,100,4.17,rain,,,,11.4,275.1,1003.6,66.4,2.1,267.9,23.3,9,,2017-08-02T05:51:36,2017-08-02T19:14:08,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-08-03,87.1,75.2,81.2,94.3,75.2,85.3,74.3,80.6,0,0,0,,,,,12.8,267.8,1001.1,52.5,2.3,300.4,25.9,10,,2017-08-03T05:52:07,2017-08-03T19:13:27,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-08-04,91.3,77,82.7,98.3,77,86.7,73.1,74.2,0,0,0,,,,,13.9,262.7,1000,53.9,2.4,289.9,25,9,,2017-08-04T05:52:38,2017-08-04T19:12:46,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-08-05,90.2,75.1,83.8,97.3,75.1,88.7,72.7,70.5,0,0,0,,,,,9.2,276.5,1001.6,62.3,2.1,286.5,24.8,9,,2017-08-05T05:53:09,2017-08-05T19:12:03,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-08-06,91.4,75.8,85.1,99.4,75.8,91.2,72.7,67.3,0,0,0,,,,,9.8,295.2,1002.9,59.5,2.1,225,19.2,8,,2017-08-06T05:53:40,2017-08-06T19:11:19,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-08-07,89.4,77.4,84.4,102,77.4,92.7,75.8,76.1,0.118,100,8.33,rain,,,,9.2,297.5,1003.6,65.1,1.8,198.9,17.2,8,,2017-08-07T05:54:10,2017-08-07T19:10:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-08-08,86,78.8,82.1,99.4,78.8,90,79,90.9,0.016,100,4.17,rain,,,,8.1,295.2,1003.9,67.1,1.7,235,20.2,8,,2017-08-08T05:54:41,2017-08-08T19:09:48,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,42348099999"
"Jaipur,India",2017-08-09,86,78.4,80.9,99.4,78.4,86,77.1,88.4,0.157,100,4.17,rain,,,,12.7,290.1,1003.1,72.3,1.5,224.1,19.3,8,,2017-08-09T05:55:11,2017-08-09T19:09:01,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-08-10,87.8,77,82,99.9,77,88.2,76.3,83.6,0,0,0,,,,,13.9,277.1,1002.5,69.1,2,225.3,19.3,8,,2017-08-10T05:55:41,2017-08-10T19:08:13,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-08-11,89.6,78.4,83.1,100.3,78.4,89,75.4,78.4,0,0,0,,,,,17.2,270.9,1002.4,62.8,2.1,297.3,25.7,9,,2017-08-11T05:56:11,2017-08-11T19:07:23,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"Jaipur,India",2017-08-12,90.2,77.8,82.6,98.6,77.8,87.6,74.3,76.8,0,0,0,,,,26.4,16.6,263.8,1002.3,58.1,2.4,264.5,22.8,8,,2017-08-12T05:56:41,2017-08-12T19:06:33,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
